Load,Temp (C),DSin,DCos,YSin,YCos
1001,16.8,0.25881904509988696,0.965925826289774,-0.8688463432918461,0.4950818434848804
967,15.9,0.4999999999930678,0.866025403788441,-0.8684912541844038,0.495704489999033
946,15.9,0.7071067811874452,0.7071067811856498,-0.8681357188661687,0.49632688183164175
939,16.9,0.8660254037824344,0.5000000000034713,-0.8677797375197928,0.4969490186629607
934,16.3,0.9659258262866648,0.25881904511149056,-0.867423310328199,0.497570900173301
952,15.8,1.0,1.2175775290500971e-14,-0.8670664374744974,0.49819252604317893
1004,15.3,0.9659258262904374,-0.258819045097411,-0.8667091191420411,0.4988138959532174
1095,14.6,0.8660254037897226,-0.49999999999084793,-0.866351355514412,0.49943500958417086
1206,13.2,0.7071067811874624,-0.7071067811856326,-0.8659931467754208,0.5000558666169256
1276,13.3,0.5000000000056912,-0.8660254037811528,-0.865634493109107,0.5006764667324993
1250,13.0,0.2588190450999105,-0.9659258262897678,-0.8652753946997241,0.5012968096120667
1249,13.1,2.5755199268850197e-12,-1.0,-0.8649158517317973,0.5019168949368608
1235,13.1,-0.258819045094935,-0.9659258262911009,-0.8645558643900371,0.5025367223883204
1201,13.0,-0.5000000000012303,-0.8660254037837283,-0.8641954328593967,0.5031562916479927
1181,12.5,-0.7071067811838201,-0.707106781189275,-0.8638345573250578,0.5037756023975571
1190,11.5,-0.8660254037798711,-0.5000000000079112,-0.8634732379724295,0.5043946543188261
1303,10.1,-0.9659258262891043,-0.2588190451023865,-0.8631114749871497,0.5050134470937452
1446,8.8,-1.0,-5.138864078479538e-12,-0.8627492685550693,0.5056319804044171
1426,7.4,-0.9659258262917644,0.25881904509245895,-0.8623866188623105,0.506250253933005
1323,7.4,-0.86602540378501,0.4999999999990104,-0.8620235260951798,0.5068682673618785
1252,7.7,-0.7071067811910875,0.7071067811820075,-0.8616599904402261,0.5074860203735166
1228,7.4,-0.49999999999752875,0.8660254037858655,-0.8612960120842257,0.5081035126505321
1164,7.2,-0.2588190451048625,0.9659258262884408,-0.860931591214182,0.5087207438756716
1075,6.6,-7.702208230074057e-12,1.0,-0.8605667280173263,0.5093377137318159
1002,6.6,0.258819045104039,0.9659258262886614,-0.8602014226811022,0.5099544219020047
961,6.1,0.4999999999967905,0.8660254037862917,-0.8598356753932244,0.5105708680693384
941,5.7,0.707106781180195,0.7071067811929,-0.8594694863415906,0.5111870519171259
941,5.1,0.8660254037845837,0.4999999999997487,-0.8591028557143406,0.511802973128786
946,5.1,0.9659258262877773,0.2588190451073385,-0.8587357836998407,0.5124186313878726
986,5.0,1.0,1.0265552381668576e-11,-0.858368270486684,0.5130340263780746
1029,4.3,0.9659258262893249,-0.25881904510156306,-0.8580003162636902,0.5136491577832163
1106,4.4,0.8660254037875733,-0.49999999999457057,-0.8576319212198914,0.5142640252872818
1217,4.8,0.7071067811844229,-0.7071067811886722,-0.8572630855445894,0.5148786285743175
1300,5.1,0.5000000000019686,-0.8660254037833021,-0.856893809427269,0.5154929673285789
1329,5.3,0.2588190451098145,-0.965925826287114,-0.8565240930576558,0.5161070412344326
1380,5.8,-1.723018695103757e-12,-1.0,-0.8561539366257014,0.5167208499763819
1355,6.3,-0.25881904509908704,-0.9659258262899884,-0.8557833403215838,0.5173343932390658
1329,6.3,-0.4999999999923507,-0.866025403788855,-0.8554123043357066,0.5179476707072601
1329,6.2,-0.7071067811868597,-0.7071067811862355,-0.8550408288586852,0.5185606820659012
1338,6.2,-0.8660254037820204,-0.5000000000041885,-0.8546689140814042,0.5191734269999894
1446,6.0,-0.9659258262864505,-0.2588190451122905,-0.8542965601949304,0.5197859051947346
1546,5.8,-1.0,-8.403254564907619e-13,-0.8539237673905705,0.5203981163354597
1499,5.6,-0.9659258262906518,0.258819045096611,-0.853550535859857,0.521010060107625
1444,5.2,-0.8660254037901367,0.49999999999013073,-0.8531768657945474,0.5216217361968275
1355,4.8,-0.707106781188048,0.7071067811850471,-0.8528027573866251,0.5222331442888024
1299,4.5,-0.5000000000064084,0.8660254037807387,-0.8524282108282832,0.5228442840694464
1198,4.3,-0.2588190451007104,0.9659258262895534,-0.852053226311985,0.5234551552247214
1104,4.1,-3.403669608085281e-12,1.0,-0.851677804030374,0.5240657574408004
1024,4.1,0.25881904509413506,0.9659258262913152,-0.8513019441763335,0.5246760904039699
993,4.2,0.5000000000005131,0.8660254037841424,-0.8509256469429717,0.5252861538006548
984,4.3,0.7071067811832344,0.7071067811898606,-0.8505489125236213,0.5258959473174187
982,4.5,0.866025403779457,0.5000000000086284,-0.8501717411118399,0.5265054706409638
1013,4.3,0.9659258262888899,0.25881904510318643,-0.8497941329013944,0.527114723458155
1079,4.5,1.0,5.9670137596798e-12,-0.8494160880863213,0.5277237054559241
1184,4.5,0.9659258262919787,-0.25881904509165904,-0.8490376068608362,0.5283324163214143
1372,4.7,0.866025403785424,-0.4999999999982932,-0.848658689419394,0.528940855741884
1435,4.7,0.7071067811916731,-0.7071067811814219,-0.8482793359566739,0.529549023404731
1444,5.3,0.49999999999824596,-0.8660254037854513,-0.8478995466675788,0.5301569189974928
1449,5.9,0.25881904510566245,-0.9659258262882264,-0.847519321747236,0.5307645422078467
1437,6.5,8.530357911274318e-12,-1.0,-0.8471386613909808,0.5313718927236339
1412,6.6,-0.2588190451032391,-0.9659258262888758,-0.8467575657944181,0.5319789702327636
1402,7.0,-0.4999999999960733,-0.8660254037867057,-0.846376035153331,0.5325857744233574
