Load,Temp (C),DSin,DCos,YSin,YCos
1306,2.3,5.400899806656512e-13,1.0,-0.5119907767820714,0.8589909455227634
1225,3.0,0.2588190450979444,0.9659258262902946,-0.5113749357374131,0.8593577107930996
1203,3.8,0.4999999999913262,0.8660254037894465,-0.5107588319600971,0.8597240345452472
1160,4.4,0.7071067811860231,0.7071067811870719,-0.5101424657666632,0.8600899165909974
1147,2.7,0.8660254037814289,0.5000000000052129,-0.5095258374737862,0.8604553567423686
1178,2.4,0.9659258262861443,0.2588190451134331,-0.5089089473982756,0.8608203548116059
1227,2.0,1.0,2.0232541709288677e-12,-0.5082917958570752,0.861184910611182
1419,0.9,0.9659258262909579,-0.25881904509546844,-0.5076743831672387,0.8615490239538106
1617,0.7,0.8660254037834522,-0.5000000000017086,-0.5070567096460276,0.86191269465239
1619,0.8,0.7071067811888845,-0.7071067811842106,-0.5064387756107638,0.862275922520089
1604,0.6,0.5000000000074329,-0.8660254037801473,-0.5058205813789275,0.8626387073702894
1601,0.2,0.25881904510185305,-0.9659258262892472,-0.5052021272681329,0.8630010490166008
1601,-0.1,4.586598322523386e-12,-1.0,-0.504583413596127,0.8633629472728603
1581,-0.3,-0.2588190450929924,-0.9659258262916214,-0.503964440680791,0.863724401953133
1569,-0.7,-0.4999999999994887,-0.8660254037847338,-0.5033452088401145,0.8640854128717262
1569,-1.1,-0.707106781182398,-0.707106781190697,-0.5027257183922932,0.8644459798431321
1600,-1.5,-0.8660254037788656,-0.5000000000096528,-0.5021059696555827,0.864806102682114
1729,-2.2,-0.9659258262885838,-0.25881904510432907,-0.5014859629483958,0.8651657812036491
1923,-2.8,-1.0,-7.1499424741179055e-12,-0.5008656985892772,0.8655250152229428
1913,-3.2,-0.9659258262885185,0.2588190451045725,-0.500245176896905,0.865883804555429
1887,-3.5,-0.8660254037860156,0.49999999999726874,-0.4996243981900884,0.86624214901677
1850,-3.8,-0.7071067811925096,0.7071067811805855,-0.49900336278774493,0.8666000484228709
1722,-4.3,-0.4999999999992704,0.8660254037848598,-0.4983820710089974,0.8669575025898228
1719,-5.2,-0.25881904510680503,0.9659258262879203,-0.4977605231730266,0.8673145113339883
1460,-5.5,-9.713286625712423e-12,1.0,-0.4971387195991695,0.8676710744719442
1352,-6.0,0.25881904510209647,0.965925826289182,-0.4965166606068944,0.868027191820497
1320,-6.5,0.49999999999504885,0.8660254037872972,-0.49589434651580094,0.8683828631966817
1278,-6.9,0.7071067811787729,0.7071067811943221,-0.4952717776456197,0.8687380884177623
1268,-7.1,0.8660254037835782,0.5000000000014904,-0.49464895431618755,0.8690928673012466
1298,-8.3,0.9659258262872569,0.25881904510928105,-0.4940258768475461,0.8694471996648291
1344,-9.1,1.0,-2.275284451059909e-12,-0.4934025455597936,0.8698010853264762
1581,-9.7,0.9659258262898455,-0.2588190450996205,-0.49277896077318323,0.8701545241043693
1736,-10.2,0.8660254037885788,-0.4999999999928289,-0.49215512280809853,0.8705075158169201
1737,-10.4,0.7071067811858449,-0.7071067811872501,-0.49153103198505305,0.8708600602827694
1722,-10.0,0.5000000000037103,-0.8660254037822965,-0.4909066886246903,0.8712121573207879
1714,-9.5,0.2588190451117571,-0.9659258262865934,-0.4902820930477586,0.8715638067500904
1720,-9.1,2.8805970053460976e-13,-1.0,-0.4896572455752105,0.8719150083899795
1700,-9.4,-0.2588190450971445,-0.9659258262905088,-0.4890321465280534,0.8722657620600298
1674,-9.2,-0.499999999990609,-0.8660254037898606,-0.48840679622744865,0.8726160675800323
1679,-9.5,-0.7071067811854376,-0.7071067811876575,-0.48778119499468703,0.8729659247700079
1695,-9.5,-0.8660254037810149,-0.5000000000059301,-0.4871553431511879,0.8733153334502082
1846,-10.0,-0.9659258262896963,-0.258819045100177,-0.4865292410184996,0.8736642934411151
2040,-10.3,-1.0,-2.8514038521291285e-12,-0.48590288891827405,0.8740128045634545
1982,-10.4,-0.9659258262911723,0.2588190450946685,-0.48527628717236626,0.8743608666381422
1941,-10.6,-0.8660254037838663,0.5000000000009914,-0.4846494361026849,0.8747084794863655
1898,-10.4,-0.70710678118947,0.707106781183625,-0.4840223360312917,0.875055642929529
1811,-10.5,-0.5000000000081501,0.8660254037797331,-0.48339498728037605,0.8754023567892681
1689,-10.7,-0.25881904510265297,0.9659258262890329,-0.48276739017225545,0.8757486208874492
1555,-10.5,-5.414748003723647e-12,1.0,-0.4821395450293747,0.8760944350461699
1406,-10.8,0.2588190450921925,0.9659258262918358,-0.4815114521742814,0.8764397990877724
1374,-11.2,0.4999999999987715,0.8660254037851479,-0.4808831119297249,0.8767847128347892
1362,-11.2,0.7071067811818125,0.7071067811912826,-0.480254524618507,0.8771291761100254
1381,-11.2,0.8660254037857275,0.4999999999977677,-0.47962569056358145,0.8774731887365036
1407,-11.2,0.9659258262883694,0.258819045105129,-0.4789966100880287,0.8778167505374781
1489,-11.5,1.0,7.978092155318166e-12,-0.47836728351505575,0.8781598613364348
1625,-11.7,0.9659258262887329,-0.25881904510377257,-0.47773771116799607,0.8785025209570911
1836,-11.1,0.8660254037864296,-0.49999999999655154,-0.47710789337030957,0.8788447292233966
1830,-10.0,0.7071067811930952,-0.7071067811799999,-0.47647783044555697,0.8791864859595461
1772,-8.4,0.4999999999999876,-0.8660254037844458,-0.4758475227175001,0.8795277909899256
1727,-7.7,0.258819045107605,-0.965925826287706,-0.4752169705099516,0.8798686441391941
1690,-6.9,1.0541436306912686e-11,-1.0,-0.47458617414687465,0.8802090452322291
1687,-6.2,-0.25881904510129655,-0.9659258262893963,-0.4739551339523579,0.8805489940941404
1664,-6.2,-0.49999999999433165,-0.8660254037877113,-0.4733238502506152,0.8808884905502701
1665,-6.7,-0.7071067811884771,-0.707106781184618,-0.4726923233659856,0.8812275344261926
1694,-6.8,-0.8660254037831642,-0.5000000000022076,-0.472060553622908,0.8815661255477286
1790,-7.1,-0.9659258262870425,-0.25881904511008097,-0.4714285413460213,0.8819042637408908
2000,-7.1,-1.0,1.447134769859648e-12,-0.4707962868600137,0.882241948831965
1958,-7.1,-0.9659258262900597,0.2588190450988206,-0.47016379048972307,0.8825791806474566
1941,-7.3,-0.866025403788993,0.49999999999211175,-0.46953105256011135,0.8829159590141034
1887,-6.9,-0.7071067811864306,0.7071067811866646,-0.4688980733962649,0.8832522837588765
1782,-7.2,-0.5000000000044275,0.8660254037818824,-0.4682648533233936,0.8835881547089801
1659,-8.8,-0.258819045112557,0.9659258262863791,-0.4676313926668064,0.8839235716918648
