Time,Load
2003-11-01 01:00:00,1001
2003-11-01 02:00:00,967
2003-11-01 03:00:00,946
2003-11-01 04:00:00,939
2003-11-01 05:00:00,934
2003-11-01 06:00:00,952
2003-11-01 07:00:00,1004
2003-11-01 08:00:00,1095
2003-11-01 09:00:00,1206
2003-11-01 10:00:00,1276
2003-11-01 11:00:00,1250
2003-11-01 12:00:00,1249
2003-11-01 13:00:00,1235
2003-11-01 14:00:00,1201
2003-11-01 15:00:00,1181
2003-11-01 16:00:00,1190
2003-11-01 17:00:00,1303
2003-11-01 18:00:00,1446
2003-11-01 19:00:00,1426
2003-11-01 20:00:00,1323
2003-11-01 21:00:00,1252
2003-11-01 22:00:00,1228
2003-11-01 23:00:00,1164
2003-11-02 00:00:00,1075
2003-11-02 01:00:00,1002
2003-11-02 02:00:00,961
2003-11-02 03:00:00,941
2003-11-02 04:00:00,941
2003-11-02 05:00:00,946
2003-11-02 06:00:00,986
2003-11-02 07:00:00,1029
2003-11-02 08:00:00,1106
2003-11-02 09:00:00,1217
2003-11-02 10:00:00,1300
2003-11-02 11:00:00,1329
2003-11-02 12:00:00,1380
2003-11-02 13:00:00,1355
2003-11-02 14:00:00,1329
2003-11-02 15:00:00,1329
2003-11-02 16:00:00,1338
2003-11-02 17:00:00,1446
2003-11-02 18:00:00,1546
2003-11-02 19:00:00,1499
2003-11-02 20:00:00,1444
2003-11-02 21:00:00,1355
2003-11-02 22:00:00,1299
2003-11-02 23:00:00,1198
2003-11-03 00:00:00,1104
2003-11-03 01:00:00,1024
2003-11-03 02:00:00,993
2003-11-03 03:00:00,984
2003-11-03 04:00:00,982
2003-11-03 05:00:00,1013
2003-11-03 06:00:00,1079
2003-11-03 07:00:00,1184
2003-11-03 08:00:00,1372
2003-11-03 09:00:00,1435
2003-11-03 10:00:00,1444
2003-11-03 11:00:00,1449
2003-11-03 12:00:00,1437
2003-11-03 13:00:00,1412
2003-11-03 14:00:00,1402
2003-11-03 15:00:00,1390
2003-11-03 16:00:00,1409
2003-11-03 17:00:00,1569
2003-11-03 18:00:00,1678
2003-11-03 19:00:00,1664
2003-11-03 20:00:00,1618
2003-11-03 21:00:00,1568
2003-11-03 22:00:00,1461
2003-11-03 23:00:00,1711
2003-11-04 00:00:00,1621
2003-11-04 01:00:00,1518
2003-11-04 02:00:00,1451
2003-11-04 03:00:00,1431
2003-11-04 04:00:00,1453
2003-11-04 05:00:00,1462
2003-11-04 06:00:00,1566
2003-11-04 07:00:00,1715
2003-11-04 08:00:00,1474
2003-11-04 09:00:00,1523
