Load,Temp (C),DSin,DCos,YSin,YCos
1060,13.9,1.3692354728017812e-12,1.0,0.5063831487802171,-0.8623085913009522
996,12.2,0.2588190450987453,0.96592582629008,0.5057649311462663,-0.8626713362704318
975,11.5,0.49999999999204425,0.8660254037890319,0.5051464536619489,-0.8630336380192586
941,11.6,0.7071067811866094,0.7071067811864856,0.5045277166450242,-0.8633954963612899
949,11.5,0.8660254037818435,0.500000000004495,0.5039087204133851,-0.8637569111106116
978,11.1,0.9659258262863589,0.2588190451126322,0.5032894652850577,-0.8641178820815368
1141,10.9,1.0,1.1941086787927375e-12,0.5026699515782008,-0.8644784090886072
1270,10.8,0.9659258262907433,-0.2588190450962693,0.502050179611082,-0.8648384919466063
1317,11.0,0.8660254037830376,-0.5000000000024267,0.5014301497021747,-0.8651981304705036
1321,11.1,0.7071067811882982,-0.7071067811847969,0.5008098621700116,-0.8655573244755392
1354,11.9,0.5000000000067149,-0.8660254037805618,0.5001893173332821,-0.8659160737771676
1367,13.2,0.25881904510105214,-0.9659258262894618,0.4995685155108077,-0.8662743781910717
1363,14.4,3.757452830387256e-12,-1.0,0.49894745702154225,-0.8666322375331628
1383,15.3,-0.25881904509379333,-0.9659258262914068,0.4983261421845712,-0.866989651619581
1392,15.2,-0.5000000000002067,-0.8660254037843192,0.49770457131908724,-0.8673466202667095
1418,13.8,-0.7071067811829843,-0.7071067811901107,0.4970827447444883,-0.8677031432911176
1411,13.5,-0.8660254037792802,-0.5000000000089347,0.49646066278023,-0.8680592205096463
1406,13.8,-0.9659258262887983,-0.25881904510352816,0.4958383257459237,-0.8684148517393512
1356,13.9,-1.0,-6.320796981981775e-12,0.4952157339613118,-0.8687700367975171
1339,12.6,-0.9659258262883039,0.2588190451053734,0.4945928877462677,-0.8691247755016582
1333,12.3,-0.8660254037856009,0.49999999999798683,0.4939697874207953,-0.869479067669518
1346,12.4,-0.7071067811919233,0.7071067811811718,0.49334643330500455,-0.8698329131190833
1234,11.6,-0.4999999999985524,0.8660254037852745,0.4927228257192099,-0.8701863116685283
1105,11.5,-0.2588190451060042,0.965925826288135,0.4920989649837817,-0.8705392631362991
1034,10.7,-8.884141133576294e-12,1.0,0.4914748514192454,-0.8708917673410576
978,10.1,0.2588190451028974,0.9659258262889674,0.490850485346256,-0.8712438241016948
922,9.8,0.4999999999957669,0.8660254037868826,0.49022586708559857,-0.8715954332373324
922,9.0,0.7071067811793592,0.7071067811937358,0.48960099695818743,-0.8719465945673215
928,8.8,0.8660254037839927,0.5000000000007723,0.4889758752850417,-0.8722973079112576
958,8.1,0.9659258262874715,0.25881904510848014,0.48835050238738414,-0.8726475730889243
1112,8.8,1.0,1.1447485285170812e-11,0.4877248785864921,-0.8729973899203775
1276,10.6,0.9659258262896309,-0.25881904510042136,0.48709900420379665,-0.8733467582258891
1319,12.0,0.8660254037881643,-0.499999999993547,0.4864728795608576,-0.873695677825962
1347,12.3,0.7071067811852586,-0.7071067811878364,0.48584650497936344,-0.8740441485413294
1337,13.7,0.5000000000029922,-0.8660254037827111,0.485219880781131,-0.8743921701929547
1348,15.5,0.25881904511095616,-0.965925826286808,0.48459300728808036,-0.8747397426020465
1336,15.6,-5.410857916015204e-13,-1.0,0.48396588482233455,-0.8750868655900024
1356,16.1,-0.2588190450979454,-0.9659258262902942,0.4833385137060697,-0.8754335389784923
1347,17.2,-0.49999999999132705,-0.8660254037894459,0.4827108942616146,-0.8757797625894037
1375,17.4,-0.7071067811860239,-0.7071067811870712,0.4820830268114258,-0.8761255362448547
1379,17.5,-0.8660254037814294,-0.5000000000052122,0.48145491167808696,-0.8764708597671947
1407,17.3,-0.9659258262861445,-0.2588190451134322,0.4808265491843093,-0.8768157329790045
1389,17.3,-1.0,-2.0222583599929983e-12,0.48019793965290597,-0.8771601557031099
1375,16.4,-0.9659258262909577,0.2588190450954694,0.47956908340689197,-0.8775041277625271
1383,15.7,-0.8660254037834517,0.5000000000017095,0.47893998076933414,-0.8778476489805448
1388,15.2,-0.7071067811888838,0.7071067811842113,0.478310632063451,-0.8781907191806698
1299,13.7,-0.500000000007432,0.8660254037801477,0.4776810376125874,-0.8785333381866404
1107,12.7,-0.2588190451018521,0.9659258262892475,0.4770511977402144,-0.8788755058224269
1024,11.6,-4.585602511587518e-12,1.0,0.4764211127699293,-0.8792172219122316
947,10.9,0.25881904509299336,0.9659258262916212,0.4757907830254302,-0.8795584862805019
925,10.7,0.4999999999994895,0.8660254037847334,0.475160208830616,-0.8798992987518773
910,10.7,0.7071067811823988,0.7071067811906964,0.47452939050943616,-0.8802396591512694
920,10.5,0.866025403778866,0.500000000009652,0.4738983283859906,-0.8805795673038092
953,10.8,0.965925826288584,0.25881904510432807,0.47326702278450455,-0.8809190230348595
1067,11.6,1.0,7.148946663182036e-12,0.47263547402932826,-0.8812580261700158
1263,12.3,0.9659258262885183,-0.25881904510457343,0.4720036824449369,-0.8815965765351061
